ts,coin,label,book_time_ms,best_bid_before,best_bid_after,best_ask_before,best_ask_after,bid_top_depth_delta,ask_top_depth_delta,bid_top_notional_delta,ask_top_notional_delta,mid_move,spread_before,spread_after,is_impulse
2026-06-30T21:00:22.672886+00:00,#1891,france_champion_no,1782853220378,0.70563,0.70563,0.7148,0.7148,0.0,0.0,0.0,0.0,0.0,0.009170000000000011,0.009170000000000011,False
2026-06-30T21:00:22.672989+00:00,#2130,sweden_champion_yes,1782853220378,0.00063,0.00063,0.00225,0.00225,0.0,0.0,0.0,0.0,0.0,0.00162,0.00162,False
2026-06-30T21:00:22.673100+00:00,#2131,sweden_champion_no,1782853220378,0.99775,0.99775,0.99937,0.99937,0.0,0.0,0.0,0.0,0.0,0.0016199999999999548,0.0016199999999999548,False
2026-06-30T21:00:22.673182+00:00,#6740,France,1782853220378,0.88165,0.88165,0.88333,0.88333,0.0,-577.0,0.0,-510.5635999999995,0.0,0.0016799999999999038,0.0016799999999999038,False
2026-06-30T21:00:22.673276+00:00,#6741,Sweden,1782853220378,0.11667,0.11667,0.11835,0.11835,-577.0,0.0,-66.43640000000005,0.0,0.0,0.001680000000000001,0.001680000000000001,False
2026-06-30T21:00:22.673515+00:00,#1890,france_champion_yes,1782853220878,0.2852,0.2852,0.29437,0.30336,0.0,2721.0,0.0,899.9252799999999,0.004494999999999971,0.009170000000000011,0.01816000000000001,True
2026-06-30T21:00:22.673624+00:00,#1891,france_champion_no,1782853220878,0.70563,0.69664,0.7148,0.7148,2721.0,0.0,1821.0747200000005,0.0,-0.004495000000000027,0.009170000000000011,0.018159999999999954,True
2026-06-30T21:00:22.673735+00:00,#2130,sweden_champion_yes,1782853220878,0.00063,0.00063,0.00225,0.00225,0.0,0.0,0.0,0.0,0.0,0.00162,0.00162,False
2026-06-30T21:00:22.673818+00:00,#2131,sweden_champion_no,1782853220878,0.99775,0.99775,0.99937,0.99937,0.0,0.0,0.0,0.0,0.0,0.0016199999999999548,0.0016199999999999548,False
2026-06-30T21:00:22.673900+00:00,#6740,France,1782853220878,0.88165,0.88165,0.88333,0.88333,-7200.0,0.0,-6299.169,0.0,0.0,0.0016799999999999038,0.0016799999999999038,True
